Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
1.flexbar_trim.R_1	70.01836739820968	48.0	144.37716658216638	150	27.27272727272727	19767194.0
1.flexbar_trim.R_2	71.74462631985557	49.0	144.51530060361628	150	18.181818181818183	19767194.0
10.flexbar_trim.R_1	68.99983730704668	46.0	143.42306204762693	150	27.27272727272727	18424782.0
10.flexbar_trim.R_2	70.89327049219936	48.0	143.6227380058011	150	27.27272727272727	18424782.0
100.flexbar_trim.R_1	68.81390236208055	48.0	143.0574301455762	150	27.27272727272727	16723064.0
100.flexbar_trim.R_2	71.1376500067079	50.0	143.2372108364831	150	36.36363636363637	16723064.0
107.flexbar_trim.R_1	72.4731657723926	48.0	143.33896278037201	150	18.181818181818183	15904404.0
107.flexbar_trim.R_2	74.51237427195703	50.0	143.49010072933257	150	18.181818181818183	15904404.0
108.flexbar_trim.R_1	68.17848994677296	46.0	140.33278367219114	150	18.181818181818183	21023862.0
108.flexbar_trim.R_2	70.24868529470498	48.0	140.64578653531876	150	18.181818181818183	21023862.0
109.flexbar_trim.R_1	73.20160263962683	48.0	144.1229994564298	150	27.27272727272727	20663384.0
109.flexbar_trim.R_2	74.96255462014395	50.0	144.2374209374418	150	27.27272727272727	20663384.0
11.flexbar_trim.R_1	70.70595775889379	48.0	144.23826573196862	150	18.181818181818183	20092050.0
11.flexbar_trim.R_2	72.8593761411914	50.0	144.39131347970962	150	9.090909090909092	20092050.0
110.flexbar_trim.R_1	70.33258036088586	50.0	143.7819988797897	150	9.090909090909092	19839132.0
110.flexbar_trim.R_2	72.6890310346956	51.0	143.9533867711551	150	9.090909090909092	19839132.0
117.flexbar_trim.R_1	68.00740033478287	48.0	140.60322487303966	150	9.090909090909092	20711389.0
117.flexbar_trim.R_2	69.80948726753714	50.0	140.81705577544798	150	18.181818181818183	20711389.0
118.flexbar_trim.R_1	67.0232466782881	50.0	144.1213838635087	150	18.181818181818183	19651360.0
118.flexbar_trim.R_2	69.55391524352218	51.0	144.25818106227763	150	18.181818181818183	19651360.0
119.flexbar_trim.R_1	70.25237703068495	50.0	144.33061302766188	150	27.27272727272727	20841898.0
119.flexbar_trim.R_2	73.15238493549009	52.0	144.45329053044978	150	18.181818181818183	20841898.0
12.flexbar_trim.R_1	70.12863811312464	48.0	143.56939808423832	150	18.181818181818183	19227757.0
12.flexbar_trim.R_2	71.95454933281327	49.0	143.781358480867	150	9.090909090909092	19227757.0
120.flexbar_trim.R_1	65.59986806904058	48.0	143.3999085457214	150	18.181818181818183	19281766.0
120.flexbar_trim.R_2	67.54989293584269	50.0	143.57253832454973	150	18.181818181818183	19281766.0
121.flexbar_trim.R_1	71.79313121208956	48.0	143.64566889592427	150	27.27272727272727	19933243.0
121.flexbar_trim.R_2	74.03806032856313	49.0	143.7894989791676	150	18.181818181818183	19933243.0
127.flexbar_trim.R_1	67.67217186152685	49.0	143.8862533875556	150	18.181818181818183	21818830.0
127.flexbar_trim.R_2	69.97456732483482	50.0	144.05972730893453	150	18.181818181818183	21818830.0
128.flexbar_trim.R_1	62.53798138014442	46.0	144.5826768341583	150	18.181818181818183	9343373.0
128.flexbar_trim.R_2	64.15955514519567	48.0	144.69765115874108	150	27.27272727272727	9343373.0
129.flexbar_trim.R_1	67.48576923831084	56.0	131.98988175071722	150	45.45454545454545	8824155.0
129.flexbar_trim.R_2	69.2195676463731	62.0	132.48061655761938	150	54.54545454545454	8824155.0
13.flexbar_trim.R_1	69.26096798883935	47.0	144.2408528426884	150	27.27272727272727	17283375.0
