Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
1	60.06663036092602	13073594
10	55.648261852459655	11553750
100	60.8687837704164	11599195
107	61.92988957296549	10806139
108	53.55893488593012	12948369
109	58.913287004459534	13911317
11	60.798915114098726	13636081
110	63.001021314560965	14007087
117	59.2719386094553	13993576
118	61.08399069113237	13666105
119	65.00636061729347	14956655
12	58.00642003843427	12524252
120	60.21053747555541	13062360
121	43.3925424474891	9510787
127	59.744083480087106	14583152
128	58.5503565327542	5982919
129	15.377451864155658	2573318
13	54.48481029403342	10589179
131	55.57523839266003	5367232
137	58.65013099979224	5016385
138	61.44100397964145	5316052
139	60.71426981845048	6138495
140	59.95638504867551	5875911
147	58.9217992997227	5248190
148	55.106182547631775	14280997
149	33.332703584111975	43984932
150	53.05334386740692	15263516
18	56.00495275470748	10461108
19	60.42548464848103	11168339
19-G	56.53266029861639	13131252
19-S	59.18031130266866	15103454
2	63.65840608808034	12885429
20	51.937921245916776	9771051
20-G	57.785000856781174	14170046
20-S	56.16097464256535	9857071
21	55.64701880735519	10349434
28	60.29487982906415	11838316
29	54.41562495612343	10812974
3	55.44380492109154	12203742
30	58.89413304897584	12131851
31	62.13166056616801	12008593
37	62.229626052199535	10297878
38	51.815993817111824	10607763
39	58.754731911904	10801598
4	58.23669587096123	12503029
40	48.16072995943337	9232384
41	39.15544441323075	8226284
47	59.745137345137344	11489438
48	57.68869463191009	11951698
49	59.093339268834875	12244446
5	57.553789292873105	12230769
50	60.1001355843889	11668127
57	61.496400123818205	12543818
57-G	59.689533861699	17468043
57-S	26.607807947011658	4293537
58	55.68194326030035	11407636
58-G	59.84535222492317	17795435
58-S	51.03128849848838	8369957
59	61.68869024230001	11751020
60	57.805555434849495	12371460
67	58.44449728224122	12641626
68	57.64120471873466	12373657
69	59.323723441565	10705676
70	58.05594916154304	9268587
78	56.96736063163239	11148435
79	61.245758096856385	12147461
80	57.33435812159371	8921018
83	62.49789754994487	10667998
88	47.24434972088222	10115080
90	53.346821935790544	10300286
91	57.83150240096078	12290780
92	59.28327361760009	9134863
97	60.52369715147321	11277763
98	49.05460397087552	12367608
99	55.04168858538282	9989237
RESUB-116	60.49636179911997	10161514
RESUB-156	62.40968414191445	10704612
RESUB-36	64.67769131367726	10002317
RESUB-76	59.02959353419508	8991174
RESUB-94	61.425255258334246	10759717
