Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	426	11.538461538461538	3.852654444173884E-18	P30404, Q9H845, Q9Y2W6, Q5ZHN9, F1QCN0, O35488, B0K020, O02691, P05696, Q4R366, Q6NVR9, Q921G7, Q148N0, P97478, Q76B58, O95563, Q9D110, Q6DI51, Q2HJ98, Q4JF29, Q3KRD0, Q7YRK6, P28661, P97564, A3KP37, Q5RB71, Q9D3U0, Q5NCE8, Q9HBF4, A2AR02, B0S8I0, Q5SZD4, Q32PL8, Q80V03, Q7SYK1, Q9JLT4, Q9H0B6, Q6DRD9, Q6DH02, Q86WA6, D4A2Z8, A7MBI3, Q5HZE0, Q7ZW00, Q6IC98, Q9BSY4, P62264, Q80UN9, Q6GPY0, Q9BYD1, F1MNN4, Q5XI46, Q8K2Y7, Q9NZJ4, Q4RSW7, Q29RZ5, Q9ULR3, Q5M7W7, P52758, Q8IXQ6, Q8BHE8, A8WE67, Q9EQ20, Q9P0J1, P61222, Q1LXI5, P16260, Q9Y5Z4, Q91684, Q566X6, Q7T3C7, Q5U2V5, O95363, Q5R5E7, F1RCP1, Q9HCM9, Q6PBH5, Q7SXN5, O35796, A3QJU3, Q6DGV7, Q5ZJ66, Q6P963, Q5XG64, P41689, Q6AZD4, Q92523, O95258, Q8NC60, Q9H5Q4, Q8CB44, P51687, Q03172, Q1ECW7, B5DFG1, P55809, Q1L8L9, Q6DJ87, Q5PRA2, Q8C3X4, Q4KMD7, O70302, Q9Y255, Q9Y375, Q6P825, Q08CK1, Q59J78, Q9H3L0, Q502C1, Q9BWD1, A4IGH2, Q3SZB4, Q90W95, Q6NYZ6, Q9WVC6, Q8N357, Q8CG45, P04753, F1R4U0, Q91ZT8, Q09490, P58137, Q9D8Y1, Q0P5H7, P15651, P15650, Q04913, Q0P4F7, Q28E61, Q503X2, Q6PHG4, P49419, Q6DHK1, Q91WM2, Q9CX98, Q9DCM7, E1BHC3, Q9QYU4, Q7L7V1, Q8C5Q4, P11183, P59480, Q8C0G2, A4IGF3, Q8WX93, Q5T890, Q5REY3, P83565, P00375, Q7T346, Q5E9D3, Q8BH70, Q28479, Q148G5, Q8BX70, Q7Z3C6, P49753, Q5EA43, P51650, Q9D6R2, Q9H7H0, Q9CQJ1, B1H283, P13216, Q96RR1, O55125, Q3U2A8, Q5RCS0, O89110, Q6GQS1, Q0V9A9, Q3ZBR7, Q6DI06, Q9WU56, S4R2K0, P31937, Q969H0, Q5TGZ0, P46198, Q99572, Q1LYB6, Q9NVS2, P41970, Q9QUH0, Q01841, Q5PQZ3, Q64591, Q9NRK6, Q08B39, Q8BT51, O89106, Q08C57, Q7T292, Q90WU3, Q9WV85, Q9H2D1, Q9ESN2, Q1RLY6, A4QNX2, A8E657, Q29473, Q920A7, Q01831, Q9NPH0, Q99797, B1AR13, O35710, Q96SZ6, Q99551, Q28C74, P35290, O88484, Q7Z6M4, Q0VCX2, Q924H5, Q58DH2, P52815, P50637, Q7M753, Q922D8, Q63481, Q8BT35, Q9QUJ7, Q501Z5, Q9CQN1, Q5U3N5, Q8VBT2, Q8K009, Q7T010, Q9Z2K8, Q62158, Q32PI8, Q9QZU7, Q9GL72, Q8WV74, Q803G5, Q9ERI6, Q96NN9, Q5RAS7, Q5R9X6, Q9BYX4, Q5TYQ3, Q9N0C5, A4FUC0, Q9CZW4, O75146, Q62760, Q9NUM3, O88696, Q49AM1, Q6EMK4, Q567E6, Q62651, O75131, Q86VP3, Q99MZ7, Q9MYY8, F1RAX8, P24529, Q5BJJ8, Q5RGU1, Q32LU7, Q9BYV1, P36968, Q62625, O75127, E7EXZ6, Q63ZW2, Q3T099, Q9Z2F7, Q8R127, Q9D7L8, O43542, P70671, Q9Y619, Q2KIA9, P34897, Q3TLP5, Q8R1R3, Q922W5, Q9NWT8, Q9NQH7, Q9TRY0, Q1XHU0, Q8N5M1, B8A5I7, Q8BXV2, P36551, O94826, Q9D0D3, P00348, Q28D01, Q9NTG7, Q3ZBL5, Q16678, Q5SWU9, Q9N0F3, Q9Y2D0, O43524, Q7T2P6, P11498, O75570, P02639, Q28F51, Q7ZVE3, Q15118, D4A523, P56213, Q9BUR5, Q6GQN8, P11586, Q5R511, Q568N4, P70406, Q3TL44, Q568N3, P48506, O15079, Q6DHF7, Q5TZ51, P11233, Q8R151, Q5RE28, P35670, Q08BY0, Q5I0D1, Q8BGQ7, P48735, Q4R7G8, Q5XKA2, A4IG62, Q99L04, Q9WVL0, Q8BGH4, Q0VFH6, P53370, Q9JJ93, Q5ZI74, P31689, Q8NB90, Q08DK7, Q7ZV90, P86397, Q04467, Q6PE18, Q7ZVZ6, Q9NVH0, P54116, Q5ZHT1, O95977, Q4VBS4, A3KMV5, Q91ZA3, Q6PBI8, B5XAM2, Q7T3E5, Q9BXK5, Q503J2, Q91V92, A8E7G5, Q6DH88, Q8BP74, P45953, Q8NBX0, A6H751, P10620, Q9WTK3, Q96LW7, Q6PBK1, P34932, Q9H773, Q5XTS1, O88823, Q2TBP7, Q5SUC9, Q8BHG1, Q9JK81, Q924S5, Q9PTY0, Q3ZBE6, P30044, Q56A55, Q01167, Q9H9B4, Q9EP80, Q8R104, F6NXI9, Q9UJ68, Q8WYQ3, Q5R5M0, Q9PT92, Q2KHZ4, Q61768, Q61527, Q07820, Q28I39, Q1LVN8, P20004, Q06609, Q1LY46, Q32LQ3, Q5RAA9, P13804, O08807, Q8BXK9, O70157, P10417, Q28EM8, Q498Z6, Q08BB1, Q501J2, Q4VBW0, Q502L2, Q60649, Q3TC93, Q5RFL4, Q9R101, Q8BYL4, P28072, Q91ZE0, Q5RH02, Q9UJZ1, P67999	3541	1223	14535	1.4297899873067348	4.234067234147098E-15	4.234067234147098E-15	4.160866799707795E-15
INTERPRO	IPR005819:H1/H5	33	0.8938244853737811	6.497169862392165E-18	P06350	3679	34	15126	3.990518523255999	4.243951354114562E-14	4.243951354114562E-14	4.243951354114562E-14
SMART	SM00526:H15	34	0.9209100758396532	9.510456721495103E-17	P06350, Q5ZM33	1954	38	8497	3.890777352798578	7.471800955727304E-14	6.400537373566203E-14	6.400537373566203E-14
UP_SEQ_FEATURE	DOMAIN:H15	34	0.9209100758396532	4.91676989518813E-16	P06350, Q5ZM33	3548	38	14688	3.7040289562689135	3.459899033941838E-12	3.830655425341072E-12	3.829672071362034E-12
INTERPRO	IPR005818:Histone_H1/H5_H15	34	0.9209100758396532	6.127233553395644E-16	P06350, Q5ZM33	3679	38	15126	3.6786598188867115	4.3511860781109135E-12	2.0011544785390175E-12	2.0011544785390175E-12
UP_KW_CELLULAR_COMPONENT	KW-0496~Mitochondrion	392	10.617551462621885	9.239933809979144E-16	P30404, Q9H845, Q9Y2W6, Q5ZHN9, F1QCN0, B0K020, O02691, P05696, Q4R366, Q6NVR9, Q921G7, Q148N0, P97478, Q76B58, O95563, A5A6H9, Q2HJ98, Q3ZBX6, Q4JF29, Q3KRD0, Q7YRK6, P28661, P97564, A3KP37, Q5RB71, Q9D3U0, P14018, Q5NCE8, Q9HBF4, Q32PL8, Q7SYK1, Q9JLT4, Q6DRD9, Q6DH02, D4A2Z8, A7MBI3, Q5HZE0, Q7ZW00, Q6IC98, Q9BSY4, Q80UN9, Q6GPY0, Q9BYD1, Q5XI46, Q8K2Y7, Q2KIQ4, Q4RSW7, Q29RZ5, Q710D6, Q12981, Q5M7W7, P52758, Q8BHE8, Q9EQ20, Q9P0J1, Q86WG3, P61222, Q1LXI5, P16260, Q9Y5Z4, Q91684, Q566X6, Q7T3C7, Q5U2V5, O95363, Q5R5E7, F1RCP1, Q9HCM9, Q6PBH5, Q7SXN5, O35796, A3QJU3, Q6DGV7, Q5ZJ66, Q6P963, Q5XG64, Q9JKW1, P41689, Q6AZD4, Q92523, O95258, Q8NC60, Q9H5Q4, Q8CB44, P51687, Q1ECW7, B5DFG1, P55809, Q1L8L9, Q6DJ87, Q5ZL72, Q5PRA2, Q5ZIR1, Q8C3X4, Q92506, Q5REB8, Q9Y255, Q9Y375, Q6P825, Q08CK1, Q59J78, Q9H3L0, Q502C1, A4IGH2, Q3SZB4, Q6NYZ6, Q9WVC6, Q8N357, Q86YH6, Q8CG45, P04753, F1R4U0, Q91ZT8, Q09490, Q9D8Y1, Q0P5H7, P15651, P15650, Q0P4F7, Q14296, Q28E61, Q503X2, Q6PHG4, P49419, Q6DHK1, Q9CX98, E1BHC3, Q7L7V1, Q8C5Q4, P11183, P59480, Q8C0G2, Q5T890, Q5REY3, P83565, P00375, Q7T346, Q5E9D3, Q8BH70, Q28479, Q148G5, Q8BX70, Q7Z3C6, P49753, Q5EA43, P51650, Q9D6R2, Q9H7H0, Q96EY8, Q9CQJ1, P13216, Q96RR1, Q3U2A8, Q5RCS0, Q6GQS1, Q0V9A9, Q3ZBR7, Q6DI06, Q9WU56, S4R2K0, P31937, Q5TGZ0, P46198, Q1LYB6, Q9NVS2, Q01841, Q5PQZ3, Q64591, Q9NRK6, Q08B39, Q8BT51, O89106, Q3T0C9, Q08C57, Q7T292, Q90WU3, Q9H2D1, Q9ESN2, Q1RLY6, Q9GZV5, A4QNX2, A8E657, Q920A7, Q9NPH0, Q99797, B1AR13, O35710, Q96SZ6, Q99551, Q28C74, Q96LL9, O88484, Q7Z6M4, Q924H5, Q58DH2, P52815, P50637, Q5ZIJ2, Q8BT35, Q9QUJ7, Q501Z5, Q9CQN1, Q9UNQ0, Q5U3N5, P81004, Q8K009, Q7T010, P52826, Q62158, Q32PI8, Q9GL72, Q8WV74, Q803G5, Q96NN9, Q5R9X6, Q9BYX4, Q5TYQ3, Q9N0C5, A4FUC0, Q9CZW4, Q62760, P00428, Q9NUM3, O88696, Q49AM1, Q6J4K2, Q567E6, Q62651, Q86VP3, F1RAX8, Q5BJJ8, Q96RL7, Q5RGU1, Q32LU7, Q9BYV1, P36968, Q62625, O75127, E7EXZ6, Q63ZW2, Q3T099, Q9Z2F7, O43542, P70671, Q9Y619, Q2KIA9, P34897, Q3TLP5, Q8R1R3, Q922W5, Q9NWT8, Q9NQH7, Q9TRY0, Q1XHU0, Q8N5M1, B8A5I7, Q9W725, Q8BXV2, P36551, O94826, Q9D0D3, P00348, Q28D01, Q9NTG7, Q3ZBL5, Q16678, Q9N0F3, Q9Y2D0, O43524, Q7T2P6, P11498, O75570, P02639, Q28F51, Q7ZVE3, Q95KE5, Q15118, D4A523, P56213, Q9BUR5, Q3SZ22, Q6GQN8, Q5R511, Q568N4, P70406, Q3TL44, Q568N3, P00126, A0A8I3S9V6, Q95KD0, O77737, Q5TZ51, P11233, Q8R151, P35670, Q08BY0, Q5I0D1, P48735, Q4R7G8, P82925, P11966, Q5XKA2, A4IG62, Q8BGH4, Q0VFH6, P53370, Q9JJ93, Q5R7L8, Q5ZI74, P82920, Q2KHV4, P31689, Q8NB90, Q08DK7, Q58DQ5, Q7ZV90, P86397, Q04467, Q6PE18, Q7ZVZ6, Q9NVH0, Q5ZHT1, O13085, Q4VBS4, A3KMV5, Q91ZA3, Q6PBI8, B5XAM2, Q9BXK5, Q503J2, A8E7G5, Q6DH88, Q2YDF6, P45953, Q8IZ52, A6H751, P10620, Q96LW7, Q9H773, Q5XTS1, O88823, Q5SUC9, Q5R8M4, Q8BHG1, P07221, Q9JK81, Q924S5, Q9PTY0, Q3ZBE1, Q3ZBE6, P30044, Q2TBS2, Q56A55, Q9H9B4, Q8R104, F6NXI9, Q9UJ68, Q8WYQ3, Q2KHZ9, Q5R5M0, Q2KHZ4, Q61527, Q07820, Q28I39, Q1LVN8, P20004, Q9BSF4, Q06609, Q1LY46, Q32LQ3, P13804, Q4RGM4, Q8BXK9, O70157, P10417, Q28EM8, Q498Z6, Q08BB1, Q501J2, Q4VBW0, Q502L2, Q60649, Q8SPI2, Q5RFL4, Q8BYL4, Q91ZE0, Q5RH02, Q9UJZ1, P67999	3277	1142	13537	1.4179664348505505	5.6843418860808015E-14	5.913557638386652E-14	4.9895642573887375E-14
UP_KW_MOLECULAR_FUNCTION	KW-0044~Antibiotic	34	0.9209100758396532	4.845435716301724E-15	P02264, P06350	2286	39	9252	3.528366646476883	5.226929999935237E-13	3.385816807745676E-13	3.1326716258581485E-13
UP_KW_DOMAIN	KW-0809~Transit peptide	197	5.335861321776815	5.9546827966407915E-15	P30404, Q9N0C5, Q9H845, A4FUC0, Q5ZHN9, P00428, F1QCN0, O88696, Q4R366, Q49AM1, Q921G7, Q148N0, Q6J4K2, P97478, Q567E6, Q62651, A5A6H9, F1RAX8, Q5BJJ8, Q2HJ98, Q3ZBX6, Q5RGU1, Q3KRD0, Q32LU7, Q9BYV1, P36968, P97564, Q5RB71, A3KP37, Q5NCE8, Q3T099, Q9JLT4, Q6DRD9, Q6DH02, A7MBI3, P34897, Q3TLP5, Q80UN9, Q8R1R3, Q9NQH7, Q8K2Y7, Q2KIQ4, Q4RSW7, Q710D6, Q8N5M1, Q5M7W7, B8A5I7, Q8BHE8, Q9EQ20, Q9P0J1, P36551, Q1LXI5, Q9D0D3, P00348, Q9NTG7, Q7T3C7, Q9N0F3, Q9Y2D0, P11498, O75570, O95363, Q5R5E7, O35796, Q5ZJ66, Q95KE5, Q6P963, Q5XG64, P41689, Q15118, Q9H5Q4, Q3SZ22, Q6GQN8, P51687, Q5R511, Q3TL44, B5DFG1, P55809, P00126, Q6DJ87, Q5ZL72, Q95KD0, Q5PRA2, Q8C3X4, Q5REB8, Q9Y255, Q9Y375, Q08CK1, Q59J78, Q9H3L0, Q502C1, A4IGH2, Q3SZB4, Q08BY0, P48735, Q8CG45, P82925, F1R4U0, P11966, Q5XKA2, A4IG62, Q0P5H7, P15651, P15650, Q0P4F7, Q0VFH6, Q6PHG4, P49419, Q6DHK1, Q2KHV4, Q58DQ5, E1BHC3, Q8C5Q4, P11183, P59480, P86397, Q04467, Q7ZVZ6, Q5REY3, P83565, O14832, O13085, Q28479, Q4VBS4, Q91ZA3, Q148G5, B5XAM2, P49753, Q2YDF6, P45953, P51650, Q9D6R2, Q9H7H0, Q96EY8, A6H751, P13216, Q5SUC9, Q96RR1, Q5R8M4, Q3U2A8, Q9JK81, Q3ZBR7, Q924S5, Q9PTY0, Q9WU56, S4R2K0, P31937, P46198, P30044, Q2TBS2, Q1LYB6, Q9NVS2, Q56A55, Q64591, Q9NRK6, Q08B39, Q8R104, F6NXI9, Q08C57, Q9UJ68, Q8WYQ3, Q2KHZ9, A8E657, Q920A7, Q9NPH0, Q99797, B1AR13, O35710, Q96SZ6, Q99551, Q1LVN8, Q28C74, P20004, Q9BSF4, Q96LL9, O88484, Q7Z6M4, Q1LY46, Q32LQ3, P13804, Q4RGM4, P52815, Q7M753, Q498Z6, Q08BB1, Q60649, Q501Z5, Q9CQN1, Q5U3N5, Q8K009, Q7T010, Q8BYL4, Q91ZE0, Q32PI8, Q9GL72, Q5RH02, Q9UJZ1	2469	514	10619	1.6484115089364935	1.9184653865522705E-13	1.9054984949250533E-13	1.8459516669586454E-13
UP_KW_MOLECULAR_FUNCTION	KW-0929~Antimicrobial	35	0.9479956663055255	6.328629547188179E-15	P02264, Q8JFR1, P06350	2286	41	9252	3.4549644709045517	6.77125022718883E-13	3.385816807745676E-13	3.1326716258581485E-13
UP_KW_PTM	KW-0007~Acetylation	713	19.312026002166846	1.2234060976499462E-13	P04114, Q92738, Q71RC2, Q92616, O95433, P30404, Q9H845, Q3UZW7, Q9H840, Q9R1J0, G1SW77, Q8JZM7, P15253, Q9WUB3, O35488, B0K020, O02691, Q70Z53, Q9Z2U1, Q9Z1S0, Q8N3U4, Q9UK45, P41777, Q91V33, P05696, P05455, Q9EPL8, Q921G7, Q148N0, Q9NS91, Q1W1Y5, Q92608, Q8NDV3, Q8IZP0, Q5U216, A5A6H9, Q9D110, Q86WB0, Q92841, Q2HJ98, Q7TN31, Q5XI68, P85108, D3ZCL3, P0C605, Q923J1, Q7YRK6, Q8MJC3, P97564, O70475, P50151, P56819, Q9NQW6, Q9NQW7, O60306, Q5M947, P62494, Q498M4, Q86WA6, D4A2Z8, Q52KK4, Q5E9M1, Q8R4H2, O95104, P56701, Q2KIR1, A7MBI3, P07738, P46087, Q9D0N7, P39429, Q5R1W5, Q8R5J9, Q9BXB4, Q3SWX7, O55096, Q9BSY4, Q9JIM0, Q8C2Q3, Q64261, Q9BYD1, P52590, Q3KRF3, Q8K2Y7, Q810B6, Q9NZJ4, Q710D6, O95235, Q9EPQ8, Q6P9V9, O95470, P50579, Q7Z4S6, Q9H6U6, P52758, Q96HN2, Q9Z1N7, P51788, Q9EQ20, Q9ERU2, Q9P0J1, O35685, P61220, P84104, P62317, Q9Y5Z4, P08642, Q12874, Q2KHR2, Q6NT16, P53611, O95363, Q5R5E7, Q8CID0, O35796, Q0IIF0, P06350, Q2KJ44, P41689, Q6P3H7, P29314, Q9Y248, Q9H867, Q9Y243, Q5RAZ4, O35594, Q3T0M0, Q9QUR6, Q5R5B6, O35586, P26038, P62334, Q5R6D1, Q9ULU4, Q5R8H5, Q5REB8, Q9H8V3, Q9H3L0, Q99020, O00499, Q03164, Q9D0R2, Q9BWD1, O76094, Q68CP9, Q96LR5, P40692, Q96KP4, Q3SZB4, Q8WMN1, Q6P823, Q92621, P48059, Q5E9R3, Q8N3V7, Q0P570, P22061, Q8CG45, P04753, Q91ZT8, D3ZJP6, Q9Z0H7, A1A4K8, P70388, O00303, Q5R698, Q9JIH2, Q3TEI4, Q5RBR7, Q0P5H7, P15651, P15650, Q5ZLN1, Q9P2J5, Q4R761, Q96CX2, Q8VDW0, P27986, P25686, P49419, Q15024, P62634, E2RG47, Q9D1J3, Q9Y312, Q91WM3, P05619, Q1LZA7, Q5R4W3, Q6AY65, Q64674, Q7L7V1, P35249, Q8BMB3, Q96S55, Q8BWW4, Q2M2T6, Q9R0A0, Q5REY3, P24369, O46560, Q9R1C7, Q5REY7, D3ZN95, P00375, Q8VCS6, Q86U42, Q5E9D3, P49642, E1C1U1, P40826, O60825, Q28479, Q5R7Z5, O00443, Q5R6X7, Q9Z2N8, Q8R5C5, O00566, P11387, Q148G5, P48303, Q9Y5X1, Q8BX70, P26516, Q7Z3C6, P49753, Q5EA43, P51650, Q99JZ7, Q9D6R2, O43264, P51410, Q9UMS4, Q96EY8, Q9BT25, O14980, Q9CQJ1, P97852, Q5NUA6, P51532, Q29S22, Q9H098, Q9QX47, A4K2U9, Q9NR19, P34022, O55125, Q3U2A8, Q5RCS0, O14975, O89110, Q99615, P61458, Q9D6Y9, P62958, P46196, P31937, Q5TGZ0, F1PLN3, Q6AXX4, P80020, Q6P5F9, Q6B855, Q9JL19, Q3SZZ0, Q95M18, Q5JPI3, O95081, Q9QXN3, Q9QUH0, Q8WTW3, P51949, Q96PU5, Q64591, Q9NRK6, O88377, A7MB10, P60899, Q6PHK6, Q5E9K0, P27545, Q91YU8, P49454, Q923G2, Q6AXY4, Q28024, Q9HCE9, Q2T9P4, A8E657, Q1JP73, Q99797, B1AR13, A2VDN6, A5PJ65, Q9NU19, Q6IQ20, Q0VCX2, Q9D1M4, Q6P5D8, P52815, Q9HCD5, Q9UHD8, P12276, Q922D8, Q9NU22, P15311, P68037, Q8K3X3, Q01826, P02264, Q0VCY1, Q9CQN1, P81004, Q8VBT2, Q8K009, Q9Z2K8, P52826, Q96SY0, Q7TMK9, Q09666, O43347, Q9JII5, B0BNA5, Q9QXQ0, Q9UKK9, P18708, Q4R4V8, Q3ZBV8, P26325, Q5R9X6, F1MH24, Q14566, Q5VYK3, Q15417, O75146, Q99L88, P13861, Q04637, Q8BX13, Q2TA49, Q9UEY8, P00428, O88696, Q8R146, B5DF89, Q5R8W6, Q8BK64, P79101, Q15428, Q15427, Q5R628, G1TGF1, Q99J36, Q6WVG3, O75496, Q62651, Q99MZ7, Q6P1S2, Q9NW13, Q8NEG4, O94915, Q9D903, Q9BYV1, Q6PCT3, Q14103, Q9UNL2, Q15438, Q60560, Q7TQH0, P49915, Q3V1V3, O54786, Q5RDL2, P83871, Q8R127, Q16774, Q9BXS5, Q5VZK9, Q93009, P46405, P35505, P79126, O43542, Q14119, Q8K2I3, Q9Y618, P68373, Q06AA1, P35623, Q9WU49, P34897, Q00004, Q3TLP5, O54790, Q9UKG9, Q922W5, Q9NW38, P60522, O88665, Q13151, Q5SRE5, P08397, Q9P2E9, P43247, Q9TRY0, Q13395, Q80ZH1, Q62446, P21291, Q8TB45, Q9D8U8, Q61239, P0DP35, Q0II70, Q14008, Q91YN9, P13668, Q9Y3E0, P13667, O43639, Q5R651, P10160, Q5RCP3, Q8C7R4, P36551, Q6AY09, O94826, Q5I0E7, Q9D0D3, Q13283, P00348, Q6PJG2, P49615, Q13164, Q8K310, Q8K2P1, Q6PHD9, Q96MF7, Q5SWU9, Q8BGS2, Q9N0F3, O43524, P58742, P11498, Q5R664, Q9D0C1, Q14141, Q6ZN18, Q0II59, Q4QY71, Q17QK8, Q96FX7, Q63635, Q6F596, O75689, Q3SZ22, P57784, G3V9R8, P59723, Q62785, P11586, Q5R511, Q6PCX9, Q8R040, Q98972, P48508, Q3UHJ0, P47897, P00126, Q3YBR2, P02545, Q15125, P48506, Q95KD0, Q7Z6E9, Q9BY84, O93400, Q8BGQ2, Q99K70, Q9BU02, P14866, P57678, Q8TEX9, Q9Y5L0, P58405, Q9H299, Q9NYT0, P48739, Q5RE28, Q9Y2F5, P35790, Q9D2E2, Q9C0D5, Q8BGQ7, O54879, P48735, Q8K4Q0, Q4PLW0, P11966, Q2KHU0, P10999, Q12788, Q8IXU6, Q5REG1, Q8K3F3, Q5I085, Q5RBA4, Q9WVL0, P00949, P62198, O43719, Q9CWH5, Q6P9Z1, Q99LP8, P41252, O60285, P09411, Q5R5H1, Q8WWI1, P46940, Q32LJ2, Q969T7, P07356, P31689, Q8NB91, P60901, Q13404, O94876, Q2MJT0, O75410, Q9R1S8, Q7TSE6, Q96DH6, Q04467, P52293, P23711, P08579, P06398, P08537, Q5FVJ8, Q9H307, Q3TLH4, Q9EQU5, Q6PFR5, Q3T0Q6, A3KMV5, Q91ZA3, Q8CGC7, Q9NZ01, Q91V92, Q9D8F1, Q56P03, P45953, P11717, Q60972, P81601, Q8NBX0, Q5R8M1, A4FV97, P10620, Q08DI8, P34932, Q9H773, Q3ZCC8, Q9JJ66, Q8VDC1, Q5E951, P08553, Q9JK81, Q13435, Q61510, Q3ZBE1, Q9NP64, P35610, P30044, Q8TBM7, Q6P4T2, Q27955, Q01167, Q6NYB7, Q5REL2, Q9H9B4, P00504, Q80XC3, Q9UJ68, Q3SZI0, Q9JHZ4, Q60674, Q2KHZ9, Q99LT0, P35604, Q5R5M0, Q9Z1W9, Q61768, Q62735, P31483, Q8VDJ3, O73672, Q58DU5, Q80TZ9, Q3T022, Q05519, Q9CWK8, Q9UJX2, P62282, Q91YD9, Q99L27, Q6P2Q9, P20004, Q13451, Q06609, Q27J81, P46976, Q32P85, Q5RAA9, Q8JZX4, P13804, O18973, P12955, P51161, Q13459, Q5R5J1, Q5RDG4, P63150, Q2EN75, P41035, Q91XA2, Q2HJG2, Q8VEJ4, Q9WUH4, O60343, Q60649, Q5F3J5, Q9NZM1, Q16851, Q9NZM4, Q63918, Q3UA37, Q6MGA9, Q8WUF5, Q6ZU65, Q3TC93, Q32PZ3, Q14558, Q8BYL4, P28072, O08810, Q3ZBF8, Q91ZE0, P84082, Q4R7L3, Q5E9Z7, Q9UJZ1, Q9BSD7, Q9NZN3, Q3SZJ4, P67999, P41148	2368	2405	9881	1.2370682207675452	4.282130205979229E-12	4.404261951539806E-12	4.281921341774811E-12
