Sample	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct
MHW001-RG	0.115825	0.009579147	192662.0	21056180.0	100.0	96.22443387167094	29.930348239804182	21056180.0	21248842	21248842	100.0
MHW002-RG	0.099152	0.009267225	239993.0	26214009.0	100.0	96.44588128431634	28.695095816896988	26214009.0	26454002	26454002	100.0
MHW003-RG	0.124713	0.007541431	785391.0	63141273.0	100.0	94.43569184929167	15.376625365155371	63141273.0	63926664	63926664	100.0
MHW004-RG	0.102302	0.007036177	1121276.0	61563875.0	100.0	94.46821857785918	18.258319509615013	61563875.0	62685151	62685151	100.0
MHW005-RG	0.137375	0.008112884	310861.0	29550366.0	100.0	96.47738373189692	23.36642801649225	29550366.0	29861227	29861227	100.0
MHW006-RG	0.094974	0.01017143	395312.0	26129365.0	100.0	94.29675003583134	30.054388998737625	26129365.0	26524677	26524677	100.0
MHW007-RG	0.102294	0.00757216	927217.0	51466069.0	100.0	92.91827592272493	17.2206915589376	51466069.0	52393286	52393286	100.0
MHW008-RG	0.106894	0.007426447	1044511.0	50804555.0	100.0	90.63586522901342	17.682245223878056	50804555.0	51849066	51849066	100.0
MHW009-RG	0.132137	0.007378705	2218780.0	73240261.0	100.0	88.01238433598701	16.753144831092285	73240261.0	75459041	75459041	100.0
MHW010-RG	0.138664	0.007354307	6039687.0	79829421.0	100.0	75.20361697224386	17.6360517508952	79829421.0	85869108	85869108	100.0
MHW011-RG	0.125799	0.007568139	4727806.0	73461760.0	100.0	81.94849674170615	17.965139958530806	73461760.0	78189566	78189566	100.0
MHW012-RG	0.120112	0.007313489	7146860.0	88807208.0	100.0	81.07277283168276	19.981559379729628	88807208.0	95954068	95954068	100.0
MHW013-RG	0.148303	0.007579357	5600342.0	83265403.0	100.0	70.32784312591389	17.64419851543864	83265403.0	88865745	88865745	100.0
MHW014-RG	0.113527	0.006957061	12702632.0	72445098.0	100.0	65.01128068044024	20.45025047795504	72445098.0	85147730	85147730	100.0
MHW015-RG	0.125797	0.06887028	5743316.0	63880929.0	100.0	75.38099829449881	16.030922155186566	63880929.0	69624245	69624245	100.0
MHW016-RG	0.126653	0.007397698	4522234.0	81671547.0	100.0	80.0237639676398	17.739060336398428	81671547.0	86193781	86193781	100.0
MHW017-RG	0.116984	0.006683617	16196508.0	78864118.0	100.0	64.39575980549228	21.515784909938382	78864118.0	95060626	95060626	100.0
MHW018-RG	0.161953	0.01328358	816692.0	71474474.0	100.0	96.11245267786092	43.12758985816391	71474474.0	72291166	72291166	100.0
MHW019-RG	0.098826	0.01015914	903138.0	57443586.0	100.0	96.4286386995408	32.93998219400857	57443586.0	58346724	58346724	100.0
MHW020-RG	0.13044	0.01182272	728859.0	59744332.0	100.0	96.48840328485052	42.387825174779756	59744332.0	60473191	60473191	100.0
MHW021-RG	0.094462	0.01091803	1049279.0	60151744.0	100.0	95.76430236170708	37.59216191636938	60151744.0	61201023	61201023	100.0
MHW022-RG	0.118311	0.01192269	743046.0	52168893.0	100.0	95.60112000076367	39.84491102772681	52168893.0	52911939	52911939	100.0
MHW023-RG	0.067392	0.01082099	2059021.0	49281699.0	100.0	93.51771739850122	33.061185654333876	49281699.0	51340720	51340720	100.0
MHW024-RG	0.20228	0.01175244	1019986.0	101915539.0	100.0	95.72813621679418	46.79947186463881	101915539.0	102935525	102935525	100.0
MHW025-RG	0.172668	0.01129934	1061434.0	101094922.0	100.0	96.05606501185095	41.97329713553763	101094922.0	102156356	102156356	100.0
MHW026-RG	0.132018	0.01147172	889884.0	77455631.0	100.0	95.6148662709881	41.8966117518299	77455631.0	78345515	78345515	100.0
MHW027-RG	0.166613	0.009613247	961443.0	109024570.0	100.0	96.8815286315736	38.7110400894037	109024570.0	109986013	109986013	100.0
MHW028-RG	0.142735	0.01133637	729836.0	71003696.0	100.0	95.89911206875766	40.41643409661379	71003696.0	71733532	71733532	100.0
MHW029-RG	0.162728	0.01012502	776811.0	88175929.0	100.0	96.25904366712145	41.18693209345149	88175929.0	88952740	88952740	100.0
MHW030-RG	0.122855	0.01150575	473119.0	42559282.0	100.0	95.42059473653714	40.537796196843736	42559282.0	43032401	43032401	100.0
MHW031-RG	0.196	0.01171195	1045635.0	88563082.0	100.0	95.39003622299414	48.16239344516037	88563082.0	89608717	89608717	100.0
MHW032-RG	0.144893	0.007525229	1980931.0	79653980.0	100.0	86.49484181455843	15.84207844981506	79653980.0	81634911	81634911	100.0
MHW033-RG	0.13235	0.007602538	1438802.0	77183773.0	100.0	90.75997878465982	16.106924443820596	77183773.0	78622575	78622575	100.0
MHW034-RG	0.128589	0.007630707	2406482.0	78268101.0	100.0	87.27106078630935	16.32359778346992	78268101.0	80674583	80674583	100.0
