Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
MHW001-RG	Unknown Library	200526.0	10427827.0	192662.0	0.0	64537.0	1187152.0	140713.0	0.115825	47073647.0
MHW002-RG	Unknown Library	372813.0	12920598.0	239993.0	0.0	101514.0	1248829.0	207726.0	0.099152	73320079.0
MHW003-RG	Unknown Library	1123373.0	31008950.0	785391.0	0.0	279160.0	3797704.0	2744309.0	0.124713	369716442.0
MHW004-RG	Unknown Library	831345.0	30366265.0	1121276.0	0.0	222404.0	3037858.0	1503906.0	0.102302	261824029.0
MHW005-RG	Unknown Library	357678.0	14596344.0	310861.0	0.0	99773.0	1979850.0	349317.0	0.137375	57397184.0
MHW006-RG	Unknown Library	616477.0	12756444.0	395312.0	0.0	198792.0	1141412.0	183806.0	0.094974	78288227.0
MHW007-RG	Unknown Library	1047563.0	25209253.0	927217.0	0.0	252936.0	2505867.0	1506354.0	0.102294	273092802.0
MHW008-RG	Unknown Library	1428411.0	24688072.0	1044511.0	0.0	342249.0	2544234.0	1486856.0	0.106894	246749086.0
MHW009-RG	Unknown Library	1520291.0	35859985.0	2218780.0	0.0	475637.0	4601052.0	3666837.0	0.132137	543905878.0
MHW010-RG	Unknown Library	2303875.0	38762773.0	6039687.0	0.0	824356.0	5122543.0	4180063.0	0.138664	622896329.0
MHW011-RG	Unknown Library	1713060.0	35874350.0	4727806.0	0.0	558251.0	4341576.0	3377243.0	0.125799	536674025.0
MHW012-RG	Unknown Library	1996580.0	43405314.0	7146860.0	0.0	720166.0	4973329.0	3600011.0	0.120112	563527560.0
MHW013-RG	Unknown Library	2857367.0	40204018.0	5600342.0	0.0	1097899.0	5625299.0	4711033.0	0.148303	677059224.0
MHW014-RG	Unknown Library	2231698.0	35106700.0	12702632.0	0.0	778603.0	3722940.0	2850403.0	0.113527	585430562.0
MHW015-RG	Unknown Library	3231583.0	30324673.0	5743316.0	0.0	1219298.0	3408355.0	2520386.0	0.125797	425988788.0
MHW016-RG	Unknown Library	2398597.0	39636475.0	4522234.0	0.0	799876.0	4772041.0	3609649.0	0.126653	546227618.0
MHW017-RG	Unknown Library	2330244.0	38266937.0	16196508.0	0.0	880080.0	4172893.0	2999918.0	0.116984	518352377.0
MHW018-RG	Unknown Library	697350.0	35388562.0	816692.0	0.0	436294.0	5569592.0	461382.0	0.161953	107455852.0
MHW019-RG	Unknown Library	514876.0	28464355.0	903138.0	0.0	212403.0	2732270.0	393845.0	0.098826	158986676.0
MHW020-RG	Unknown Library	572400.0	29585966.0	728859.0	0.0	302095.0	3745468.0	498948.0	0.13044	120414129.0
MHW021-RG	Unknown Library	587870.0	29781937.0	1049279.0	0.0	286178.0	2697929.0	426021.0	0.094462	179740707.0
MHW022-RG	Unknown Library	592883.0	25788005.0	743046.0	0.0	326812.0	2922683.0	474296.0	0.118311	122276941.0
MHW023-RG	Unknown Library	674173.0	24303763.0	2059021.0	0.0	263060.0	1529075.0	267026.0	0.067392	220815087.0
MHW024-RG	Unknown Library	1053341.0	50431099.0	1019986.0	0.0	722659.0	9946426.0	828076.0	0.20228	117820411.0
MHW025-RG	Unknown Library	1202542.0	49946190.0	1061434.0	0.0	704523.0	8375656.0	975026.0	0.172668	145253284.0
MHW026-RG	Unknown Library	855779.0	38299926.0	889884.0	0.0	544422.0	4840572.0	661873.0	0.132018	156712250.0
MHW027-RG	Unknown Library	1004992.0	54009789.0	961443.0	0.0	575055.0	8794917.0	1198094.0	0.166613	165506721.0
MHW028-RG	Unknown Library	790640.0	35106528.0	729836.0	0.0	491444.0	4821639.0	609096.0	0.142735	129503711.0
MHW029-RG	Unknown Library	1166773.0	43504578.0	776811.0	0.0	668642.0	6840040.0	754394.0	0.162728	135538280.0
MHW030-RG	Unknown Library	606100.0	20976591.0	473119.0	0.0	336200.0	2446200.0	359073.0	0.122855	94839081.0
MHW031-RG	Unknown Library	1083416.0	43739833.0	1045635.0	0.0	725731.0	8316330.0	724366.0	0.196	107055771.0
MHW032-RG	Unknown Library	1926646.0	38863667.0	1980931.0	0.0	629156.0	5456078.0	4516541.0	0.144893	616320554.0
MHW033-RG	Unknown Library	1620307.0	37781733.0	1438802.0	0.0	477398.0	4868925.0	3871139.0	0.13235	564880136.0
MHW034-RG	Unknown Library	1697043.0	38285529.0	2406482.0	0.0	522273.0	4771082.0	3755228.0	0.128589	575299219.0
MHW035-RG	Unknown Library	1886265.0	41791627.0	1976000.0	0.0	607451.0	5899933.0	4764941.0	0.145167	591551875.0
MHW036-RG	Unknown Library	1875745.0	37364878.0	3968866.0	0.0	611625.0	5211732.0	4080659.0	0.144051	478570582.0
MHW037-RG	Unknown Library	1662337.0	37084040.0	1550367.0	0.0	476864.0	4714542.0	3843965.0	0.130633	623451542.0
MHW038-RG	Unknown Library	1807947.0	39928041.0	2277597.0	0.0	560715.0	4957016.0	3831286.0	0.128266	566628938.0
MHW039-RG	Unknown Library	2014409.0	52636343.0	1133693.0	0.0	767859.0	12817661.0	11184007.0	0.246098	511995616.0
MHW040-RG	Unknown Library	1561762.0	52244874.0	1150258.0	0.0	570764.0	10433324.0	8561174.0	0.202142	494977810.0
MHW041-RG	Unknown Library	1430971.0	45853483.0	1079038.0	0.0	509519.0	9360633.0	7814760.0	0.206476	455234997.0
MHW042-RG	Unknown Library	1663974.0	50602847.0	1038725.0	0.0	613242.0	11729269.0	10024721.0	0.234003	469374420.0
MHW043-RG	Unknown Library	1697129.0	49718221.0	1058481.0	0.0	620161.0	11177074.0	9590413.0	0.227168	493964697.0
MHW044-RG	Unknown Library	1360027.0	46896075.0	1142347.0	0.0	483985.0	8346803.0	6652645.0	0.180528	464465208.0
MHW045-RG	Unknown Library	1156219.0	41236916.0	924774.0	0.0	388062.0	7285116.0	5884421.0	0.178863	434271606.0
MHW046-RG	Unknown Library	1655550.0	49498088.0	1098682.0	0.0	607287.0	10790207.0	9141315.0	0.22044	480321823.0
MHW047-RG	Unknown Library	1632261.0	47988330.0	1670419.0	0.0	526416.0	5989332.0	4471337.0	0.128114	609168250.0
MHW048-RG	Unknown Library	1602960.0	44737218.0	1527027.0	0.0	480319.0	5151957.0	3602792.0	0.118407	532314561.0
MHW049-RG	Unknown Library	1381959.0	40844772.0	1252709.0	0.0	409026.0	5101138.0	3689005.0	0.127737	476352293.0
MHW050-RG	Unknown Library	1661461.0	39575667.0	1508477.0	0.0	489418.0	5069757.0	3728971.0	0.131525	467166255.0
MHW051-RG	Unknown Library	2237627.0	46802507.0	2628420.0	0.0	761134.0	5969411.0	4823496.0	0.132508	754863891.0
MHW052-RG	Unknown Library	1952513.0	44526356.0	1513943.0	0.0	599999.0	6213436.0	4949566.0	0.143144	606389549.0
MHW053-RG	Unknown Library	1765807.0	45513529.0	1525916.0	0.0	531721.0	5818022.0	4450345.0	0.131128	602676174.0
MHW054-RG	Unknown Library	1812165.0	48600927.0	1306435.0	0.0	559018.0	7147918.0	5637070.0	0.150028	596472953.0
MHW055-RG	Unknown Library	1379538.0	43678748.0	1153016.0	0.0	391923.0	4934285.0	3608724.0	0.115628	592201298.0
MHW056-RG	Unknown Library	2097963.0	47930440.0	1636338.0	0.0	649321.0	6085039.0	4890922.0	0.130865	761222088.0
MHW057-RG	Unknown Library	1710058.0	44879831.0	1329987.0	0.0	499546.0	5386502.0	4203995.0	0.123238	685957673.0
MHW058-RG	Unknown Library	2215800.0	45570339.0	1881924.0	0.0	698314.0	5746240.0	4498181.0	0.130583	662057072.0
MHW059-RG	Unknown Library	2291523.0	47806288.0	2685716.0	0.0	761999.0	5772619.0	4462200.0	0.125707	702313565.0
MHW060-RG	Unknown Library	1885918.0	47107460.0	1341694.0	0.0	568214.0	6044301.0	4560476.0	0.131703	595726708.0
MHW061-RG	Unknown Library	2199065.0	46507277.0	2094601.0	0.0	723519.0	5868314.0	4630216.0	0.130865	694189760.0
MHW062-RG	Unknown Library	1963629.0	50050537.0	1785996.0	0.0	635960.0	6188015.0	4769197.0	0.127488	707399260.0
MHW063-RG	Unknown Library	1935525.0	46058257.0	1683516.0	0.0	611076.0	5751920.0	4579375.0	0.128811	719767104.0
MHW064-RG	Unknown Library	1845388.0	46336630.0	1414639.0	0.0	542426.0	5327747.0	3951537.0	0.118473	638490765.0
MHW065-RG	Unknown Library	1829531.0	49118452.0	1283784.0	0.0	544872.0	6122252.0	4582232.0	0.127809	629044412.0
MHW066-RG	Unknown Library	2307622.0	45802800.0	1990119.0	0.0	733231.0	5959930.0	4671203.0	0.134732	642604027.0
MHW067-RG	Unknown Library	2193910.0	41957043.0	2037294.0	0.0	742823.0	6065176.0	5121236.0	0.1495	706398590.0
MHW068-RG	Unknown Library	1784390.0	41114505.0	1390846.0	0.0	520817.0	5422315.0	4438842.0	0.135281	671573532.0
MHW069-RG	Unknown Library	1707861.0	35456344.0	1347945.0	0.0	502146.0	4725501.0	3772820.0	0.137057	516238036.0
MHW070-RG	Unknown Library	1764335.0	32471932.0	1440976.0	0.0	494251.0	3879608.0	2952243.0	0.123725	459939989.0
MHW071-RG	Unknown Library	2604084.0	30804579.0	4291441.0	0.0	901654.0	3795172.0	2817475.0	0.132247	391188586.0
MHW072-RG	Unknown Library	2246297.0	35375778.0	2203508.0	0.0	750057.0	5078746.0	4178293.0	0.149423	529990822.0
MHW073-RG	Unknown Library	1229052.0	31757239.0	993717.0	0.0	340759.0	4297862.0	3485575.0	0.138029	482528173.0
MHW074-RG	Unknown Library	1916715.0	43124558.0	1679464.0	0.0	641114.0	6498803.0	5234237.0	0.154694	554954151.0
MHW075-RG	Unknown Library	1358504.0	32844629.0	996592.0	0.0	389254.0	4931483.0	4130975.0	0.152909	505352833.0
MHW076-RG	Unknown Library	1669086.0	38506010.0	1418193.0	0.0	511527.0	5430629.0	4222674.0	0.144543	475006682.0
MHW077-RG	Unknown Library	1257833.0	32834468.0	983838.0	0.0	345202.0	4034544.0	3024879.0	0.125724	430059030.0
MHW078-RG	Unknown Library	1565811.0	31999722.0	1012684.0	0.0	426281.0	4016442.0	3018225.0	0.129019	410996718.0
MHW079-RG	Unknown Library	1977982.0	38242374.0	1741886.0	0.0	657190.0	5595464.0	4563346.0	0.151003	538205306.0
MHW080-RG	Unknown Library	1835971.0	32593480.0	1542593.0	0.0	562048.0	4784987.0	3936501.0	0.151172	474333774.0
MHW081-RG	Unknown Library	1451166.0	32821973.0	1952062.0	0.0	430348.0	3806507.0	2941718.0	0.11988	506203531.0
MHW082-RG	Unknown Library	1627523.0	35752517.0	1640343.0	0.0	497805.0	4834611.0	3863442.0	0.139022	512866512.0
