""	"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"V3"	"V13"	"Protein.names"	"Organism"	"Gene.Ontology..biological.process."	"Gene.Ontology.IDs"
"1"	"XM_060064090.1"	18.7815697082962	0.635080804590203	0.234254078391938	2.70893349860534	0.00674998678190498	0.0282445804128207	"Q7YR43"	5.06e-154	"Epithelial discoidin domain-containing receptor 1 (Epithelial discoidin domain receptor 1) (EC 2.7.10.1) (CD167 antigen-like family member A) (Discoidin receptor tyrosine kinase) (Tyrosine kinase DDR) (CD antigen CD167a)"	"Pan troglodytes (Chimpanzee)"	"collagen-activated tyrosine kinase receptor signaling pathway [GO:0038063]; female pregnancy [GO:0007565]; lactation [GO:0007595]; peptidyl-tyrosine autophosphorylation [GO:0038083]; positive regulation of kinase activity [GO:0033674]; regulation of extracellular matrix disassembly [GO:0010715]; smooth muscle cell migration [GO:0014909]; smooth muscle cell-matrix adhesion [GO:0061302]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; wound healing, spreading of cells [GO:0044319]"	"GO:0004714; GO:0005518; GO:0005524; GO:0005886; GO:0007169; GO:0007565; GO:0007595; GO:0010715; GO:0014909; GO:0033674; GO:0038062; GO:0038063; GO:0038083; GO:0043235; GO:0044319; GO:0046872; GO:0061302"
"2"	"XM_060054692.1"	138.78533427772	-0.917237044612019	0.367507453646341	-2.49810362728149	0.0124859688320931	0.0470206669256099	"Q13485"	0	"Mothers against decapentaplegic homolog 4 (MAD homolog 4) (Mothers against DPP homolog 4) (Deletion target in pancreatic carcinoma 4) (SMAD family member 4) (SMAD 4) (Smad4) (hSMAD4)"	"Homo sapiens (Human)"	"activin receptor signaling pathway [GO:0032924]; adrenal gland development [GO:0030325]; aging [GO:0007568]; anatomical structure morphogenesis [GO:0009653]; atrioventricular canal development [GO:0036302]; atrioventricular valve formation [GO:0003190]; axon guidance [GO:0007411]; BMP signaling pathway [GO:0030509]; brainstem development [GO:0003360]; branching involved in ureteric bud morphogenesis [GO:0001658]; cardiac conduction system development [GO:0003161]; cell differentiation [GO:0030154]; cell population proliferation [GO:0008283]; cellular iron ion homeostasis [GO:0006879]; cellular response to BMP stimulus [GO:0071773]; cellular response to glucose stimulus [GO:0071333]; developmental growth [GO:0048589]; DNA-templated transcription [GO:0006351]; embryonic digit morphogenesis [GO:0042733]; endocardial cell differentiation [GO:0060956]; endoderm development [GO:0007492]; endothelial cell activation [GO:0042118]; epithelial cell migration [GO:0010631]; epithelial to mesenchymal transition [GO:0001837]; epithelial to mesenchymal transition involved in endocardial cushion formation [GO:0003198]; ERK1 and ERK2 cascade [GO:0070371]; female gonad morphogenesis [GO:0061040]; formation of anatomical boundary [GO:0048859]; gastrulation with mouth forming second [GO:0001702]; in utero embryonic development [GO:0001701]; interleukin-6-mediated signaling pathway [GO:0070102]; intracellular signal transduction [GO:0035556]; left ventricular cardiac muscle tissue morphogenesis [GO:0003220]; mesoderm development [GO:0007498]; metanephric mesenchyme morphogenesis [GO:0072133]; negative regulation of cardiac muscle hypertrophy [GO:0010614]; negative regulation of cardiac myofibril assembly [GO:1905305]; negative regulation of cell death [GO:0060548]; negative regulation of cell growth [GO:0030308]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nephrogenic mesenchyme morphogenesis [GO:0072134]; neural crest cell differentiation [GO:0014033]; neuron fate commitment [GO:0048663]; osteoblast differentiation [GO:0001649]; outflow tract septum morphogenesis [GO:0003148]; ovarian follicle development [GO:0001541]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of cell proliferation involved in heart valve morphogenesis [GO:0003251]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of follicle-stimulating hormone secretion [GO:0046881]; positive regulation of histone H3-K4 methylation [GO:0051571]; positive regulation of histone H3-K9 acetylation [GO:2000617]; positive regulation of luteinizing hormone secretion [GO:0033686]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of pathway-restricted SMAD protein phosphorylation [GO:0010862]; positive regulation of SMAD protein signal transduction [GO:0060391]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus [GO:1901522]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; regulation of binding [GO:0051098]; regulation of hair follicle development [GO:0051797]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]; regulation of transforming growth factor beta2 production [GO:0032909]; response to hypoxia [GO:0001666]; response to transforming growth factor beta [GO:0071559]; sebaceous gland development [GO:0048733]; secondary palate development [GO:0062009]; seminiferous tubule development [GO:0072520]; single fertilization [GO:0007338]; SMAD protein complex assembly [GO:0007183]; SMAD protein signal transduction [GO:0060395]; somite rostral/caudal axis specification [GO:0032525]; spermatogenesis [GO:0007283]; transcription by RNA polymerase II [GO:0006366]; transforming growth factor beta receptor signaling pathway [GO:0007179]; uterus development [GO:0060065]; ventricular septum morphogenesis [GO:0060412]; wound healing [GO:0042060]"	"GO:0000122; GO:0000785; GO:0000976; GO:0000978; GO:0000981; GO:0001223; GO:0001228; GO:0001541; GO:0001649; GO:0001658; GO:0001666; GO:0001701; GO:0001702; GO:0001837; GO:0003148; GO:0003161; GO:0003190; GO:0003198; GO:0003220; GO:0003251; GO:0003360; GO:0003682; GO:0005518; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0005813; GO:0005829; GO:0006351; GO:0006366; GO:0006879; GO:0007179; GO:0007183; GO:0007283; GO:0007338; GO:0007411; GO:0007492; GO:0007498; GO:0007568; GO:0008283; GO:0008285; GO:0009653; GO:0010614; GO:0010631; GO:0010666; GO:0010718; GO:0010862; GO:0014033; GO:0017015; GO:0030154; GO:0030308; GO:0030325; GO:0030509; GO:0030511; GO:0030513; GO:0031005; GO:0032444; GO:0032525; GO:0032909; GO:0032924; GO:0033686; GO:0035556; GO:0036302; GO:0042060; GO:0042118; GO:0042177; GO:0042733; GO:0042802; GO:0042803; GO:0043199; GO:0045892; GO:0045893; GO:0045944; GO:0046872; GO:0046881; GO:0048589; GO:0048663; GO:0048733; GO:0048859; GO:0051098; GO:0051571; GO:0051797; GO:0060065; GO:0060391; GO:0060395; GO:0060412; GO:0060548; GO:0060956; GO:0061040; GO:0061629; GO:0062009; GO:0070102; GO:0070371; GO:0070373; GO:0070411; GO:0070412; GO:0071141; GO:0071144; GO:0071333; GO:0071559; GO:0071773; GO:0072133; GO:0072134; GO:0072520; GO:1901522; GO:1902895; GO:1905305; GO:2000617"
"3"	"XM_060064443.1"	18.4860580431449	-1.06617485264777	0.215744056186891	-4.92907557753456	8.26196113003368e-07	1.0532556041994e-05	"A4FUB0"	1.25e-54	"Uncharacterized protein C5orf34 homolog"	"Bos taurus (Bovine)"	""	""
"4"	"XM_060058452.1"	142.658591045771	0.98693535365983	0.177576658850218	5.55738410148482	2.73847699083952e-08	4.57304753065689e-07	"P70297"	0	"Signal transducing adapter molecule 1 (STAM-1)"	"Mus musculus (Mouse)"	"positive regulation of exosomal secretion [GO:1903543]; protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]; regulation of extracellular exosome assembly [GO:1903551]"	"GO:0031901; GO:0033565; GO:0035091; GO:0043130; GO:0043231; GO:0043328; GO:0044389; GO:1903543; GO:1903551"
"5"	"XM_060058803.1"	64.4478799698213	-0.734273351999418	0.248601371862837	-2.95214798698683	0.00315571650819024	0.0150172839532673	NA	NA	NA	NA	NA	NA
"6"	"XM_060049697.1"	306.299792704795	-0.708790477934297	0.180664697043533	-3.92294532519055	8.74730073894743e-05	0.000676408451626772	"Q6DG38"	0	"Glycerol-3-phosphate acyltransferase 3 (GPAT-3) (EC 2.3.1.15) (1-acyl-sn-glycerol-3-phosphate O-acyltransferase 10) (AGPAT 10) (1-acyl-sn-glycerol-3-phosphate O-acyltransferase 9) (1-AGP acyltransferase 9) (1-AGPAT 9) (EC 2.3.1.51) (Lysophosphatidic acid acyltransferase theta) (LPAAT-theta)"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"CDP-diacylglycerol biosynthetic process [GO:0016024]; triglyceride biosynthetic process [GO:0019432]"	"GO:0003841; GO:0004366; GO:0005783; GO:0005789; GO:0016024; GO:0019432; GO:0102420"
"7"	"XM_060068449.1"	190.611704526319	-1.67944466566719	0.126319674003122	-13.2875765223001	2.73286957041206e-40	1.35873306187123e-37	"Q9CQN1"	0	"Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)"	"Mus musculus (Mouse)"	"negative regulation of cellular respiration [GO:1901856]; negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide [GO:1903751]; protein folding [GO:0006457]; translational attenuation [GO:0009386]"	"GO:0003723; GO:0005524; GO:0005654; GO:0005739; GO:0005743; GO:0005758; GO:0005759; GO:0006457; GO:0009386; GO:0016887; GO:0019901; GO:0051082; GO:0071944; GO:0140662; GO:1901856; GO:1903751"
"8"	"XM_060076782.1"	22.5957220047642	-0.713046443224268	0.259551656136812	-2.74517190608739	0.00604792079393052	0.0258608904003174	NA	NA	NA	NA	NA	NA
"9"	"XM_060041082.1"	130.747595162846	1.95486842073267	0.195399135555456	9.99690452858016	1.57235230611306e-23	1.81035679202786e-21	"Q8K1S5"	7.2e-91	"Krueppel-like factor 11 (TGFB-inducible early growth response protein 2b) (Transforming growth factor-beta-inducible early growth response protein 3) (TGFB-inducible early growth response protein 3) (TIEG-3)"	"Mus musculus (Mouse)"	"apoptotic process [GO:0006915]; cellular response to peptide [GO:1901653]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of apoptotic process [GO:0043065]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0000083]"	"GO:0000083; GO:0000122; GO:0000976; GO:0000978; GO:0000981; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0005829; GO:0005925; GO:0006357; GO:0006915; GO:0008285; GO:0016604; GO:0043065; GO:0045892; GO:0046872; GO:1901653; GO:1990837"
"10"	"XM_060075255.1"	73.4557667269421	0.603217021344519	0.213148140292606	2.83067979112359	0.00464491972294375	0.0207753555222076	NA	NA	NA	NA	NA	NA
