ID	Gene Name	Species	BBID	BIOCARTA	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DEVELOPMENTAL_STAGE	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
P15428	15-hydroxyprostaglandin dehydrogenase(HPGD)	Homo sapiens			GO:0001822~kidney development,GO:0006693~prostaglandin metabolic process,GO:0007179~transforming growth factor beta receptor signaling pathway,GO:0007565~female pregnancy,GO:0007567~parturition,GO:0019372~lipoxygenase pathway,GO:0030728~ovulation,GO:0032355~response to estradiol,GO:0032496~response to lipopolysaccharide,GO:0043065~positive regulation of apoptotic process,GO:0045471~response to ethanol,GO:0045786~negative regulation of cell cycle,GO:0070493~thrombin-activated receptor signaling pathway,GO:0097070~ductus arteriosus closure,GO:1904707~positive regulation of vascular smooth muscle cell proliferation,GO:1905828~regulation of prostaglandin catabolic process,	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0016323~basolateral plasma membrane,GO:0070062~extracellular exosome,	GO:0004957~prostaglandin E receptor activity,GO:0016404~15-hydroxyprostaglandin dehydrogenase (NAD+) activity,GO:0016491~oxidoreductase activity,GO:0016616~oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor,GO:0042802~identical protein binding,GO:0051287~NAD binding,GO:0070403~NAD+ binding,	IPR002347:SDR_fam,IPR020904:Sc_DH/Rdtase_CS,IPR036291:NAD(P)-bd_dom_sf,	hsa00590:Arachidonic acid metabolism,hsa05202:Transcriptional misregulation in cancer,	119900~Digital clubbing, isolated congenital,259100~Cranioosteoarthropathy,259100~Hypertrophic osteoarthropathy, primary, autosomal recessive 1,			KW-0276~Fatty acid metabolism,KW-0443~Lipid metabolism,KW-0644~Prostaglandin metabolism,	KW-0963~Cytoplasm,		KW-0043~Tumor suppressor,KW-0225~Disease variant,		KW-0520~NAD,	KW-0560~Oxidoreductase,		ACT_SITE:Proton acceptor,MUTAGEN:K->Q: Loss 15-hydroxyprostaglandin dehydrogenase activity.,MUTAGEN:Q->A: Loss of activity.,MUTAGEN:Q->E,H,N: Reduced affinity for NAD and prostaglandin E2.,MUTAGEN:Y->A: Loss of activity.,MUTAGEN:Y->F: Loss 15-hydroxyprostaglandin dehydrogenase activity.,
P06623	2',3'-cyclic nucleotide 3' phosphodiesterase(CNP)	Bos taurus			GO:0009214~cyclic nucleotide catabolic process,	GO:0005737~cytoplasm,GO:0016020~membrane,GO:0042470~melanosome,	GO:0003723~RNA binding,GO:0004113~2',3'-cyclic-nucleotide 3'-phosphodiesterase activity,	IPR008431:CNPase,IPR009097:Cyclic_Pdiesterase,IPR027417:P-loop_NTPase,IPR047325:CNPase_cat,			PIRSF000970:CNPase,			KW-0472~Membrane,					KW-0378~Hydrolase,KW-0694~RNA-binding,	KW-0449~Lipoprotein,KW-0488~Methylation,KW-0597~Phosphoprotein,KW-0636~Prenylation,	ACT_SITE:Proton acceptor,ACT_SITE:Proton donor,LIPID:S-farnesyl cysteine,PROPEP:Removed in mature form,
Q6NV34	2,4-dienoyl CoA reductase 2, peroxisomal(decr2)	Danio rerio			GO:0006629~lipid metabolic process,GO:0006631~fatty acid metabolic process,GO:0009062~fatty acid catabolic process,	GO:0005777~peroxisome,	GO:0008670~2,4-dienoyl-CoA reductase (NADPH) activity,GO:0016491~oxidoreductase activity,	IPR002347:SDR_fam,IPR036291:NAD(P)-bd_dom_sf,IPR045017:DECR2-like,	dre04146:Peroxisome,				KW-0276~Fatty acid metabolism,KW-0443~Lipid metabolism,	KW-0576~Peroxisome,				KW-0521~NADP,	KW-0560~Oxidoreductase,		MOTIF:Microbody targeting signal,
Q96SZ5	2-aminoethanethiol dioxygenase(ADO)	Homo sapiens			GO:0071456~cellular response to hypoxia,	GO:0005829~cytosol,	GO:0005506~iron ion binding,GO:0005515~protein binding,GO:0016702~oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen,GO:0046872~metal ion binding,GO:0047800~cysteamine dioxygenase activity,	IPR011051:RmlC_Cupin_sf,IPR012864:PCO/ADO,IPR014710:RmlC-like_jellyroll,	hsa00430:Taurine and hypotaurine metabolism,hsa01100:Metabolic pathways,									KW-0408~Iron,KW-0479~Metal-binding,	KW-0223~Dioxygenase,KW-0560~Oxidoreductase,	KW-0883~Thioether bond,	CROSSLNK:3'-(S-cysteinyl)-tyrosine (Cys-Tyr),MUTAGEN:Y->A,F: Significant reduction in enzyme activity.,MUTAGEN:Y->A: Moderate reduction in enzyme activity.,MUTAGEN:Y->A: No significant reduction in enzyme activity.,REGION:Disordered,
A3KGZ2	2-oxoglutarate and iron-dependent oxygenase domain containing 2(ogfod2)	Danio rerio					GO:0005506~iron ion binding,GO:0016491~oxidoreductase activity,GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,GO:0016706~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors,GO:0031418~L-ascorbic acid binding,GO:0046872~metal ion binding,GO:0051213~dioxygenase activity,	IPR005123:Oxoglu/Fe-dep_dioxygenase,IPR006620:Pro_4_hyd_alph,				SM00702:P4Hc,						KW-0408~Iron,KW-0479~Metal-binding,KW-0847~Vitamin C,	KW-0223~Dioxygenase,KW-0560~Oxidoreductase,		DOMAIN:Fe2OG dioxygenase,
Q15392	24-dehydrocholesterol reductase(DHCR24)	Homo sapiens			GO:0006695~cholesterol biosynthetic process,GO:0007265~Ras protein signal transduction,GO:0008104~protein localization,GO:0008202~steroid metabolic process,GO:0008285~negative regulation of cell proliferation,GO:0009725~response to hormone,GO:0009888~tissue development,GO:0030539~male genitalia development,GO:0031639~plasminogen activation,GO:0033489~cholesterol biosynthetic process via desmosterol,GO:0033490~cholesterol biosynthetic process via lathosterol,GO:0042987~amyloid precursor protein catabolic process,GO:0043588~skin development,GO:0061024~membrane organization,	GO:0000139~Golgi membrane,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,	GO:0000246~delta24(24-1) sterol reductase activity,GO:0005515~protein binding,GO:0016628~oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor,GO:0019899~enzyme binding,GO:0042605~peptide antigen binding,GO:0050614~delta24-sterol reductase activity,GO:0071949~FAD binding,	IPR006094:Oxid_FAD_bind_N,IPR016166:FAD-bd_PCMH,IPR016169:FAD-bd_PCMH_sub2,IPR036318:FAD-bd_PCMH-like_sf,IPR040165:Diminuto-like,	hsa00100:Steroid biosynthesis,hsa01100:Metabolic pathways,	602398~Desmosterolosis,			KW-0152~Cholesterol biosynthesis,KW-0153~Cholesterol metabolism,KW-0443~Lipid metabolism,KW-0444~Lipid biosynthesis,KW-0752~Steroid biosynthesis,KW-0753~Steroid metabolism,KW-0756~Sterol biosynthesis,KW-1207~Sterol metabolism,	KW-0256~Endoplasmic reticulum,KW-0333~Golgi apparatus,KW-0472~Membrane,		KW-0225~Disease variant,	KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0274~FAD,KW-0285~Flavoprotein,KW-0521~NADP,	KW-0560~Oxidoreductase,		DOMAIN:FAD-binding PCMH-type,SITE:Cleavage; by caspase,TOPO_DOM:Cytoplasmic,TOPO_DOM:Lumenal,TRANSMEM:Helical,
P00347	3-hydroxy-3-methylglutaryl-CoA reductase(Hmgcr)	Cricetulus griseus			GO:0006695~cholesterol biosynthetic process,GO:0008299~isoprenoid biosynthetic process,GO:0008542~visual learning,GO:0015936~coenzyme A metabolic process,GO:0016126~sterol biosynthetic process,GO:0042177~negative regulation of protein catabolic process,GO:0050709~negative regulation of protein secretion,GO:0060291~long-term synaptic potentiation,GO:0070372~regulation of ERK1 and ERK2 cascade,GO:1900222~negative regulation of beta-amyloid clearance,	GO:0005778~peroxisomal membrane,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,	GO:0004420~hydroxymethylglutaryl-CoA reductase (NADPH) activity,GO:0005515~protein binding,GO:0030695~GTPase regulator activity,GO:0050661~NADP binding,GO:0070402~NADPH binding,	IPR000731:SSD,IPR002202:HMG_CoA_Rdtase,IPR004554:HMG_CoA_Rdtase_eu_arc,IPR004816:HMG_CoA_Rdtase_metazoan,IPR009023:HMG_CoA_Rdtase_NAD(P)-bd_sf,IPR009029:HMG_CoA_Rdtase_sub-bd_dom_sf,IPR023074:HMG_CoA_Rdtase_cat_sf,IPR023076:HMG_CoA_Rdtase_CS,IPR023282:HMG_CoA_Rdtase_N,	cge00900:Terpenoid backbone biosynthesis,cge01100:Metabolic pathways,cge04152:AMPK signaling pathway,cge04976:Bile secretion,				KW-0152~Cholesterol biosynthesis,KW-0153~Cholesterol metabolism,KW-0443~Lipid metabolism,KW-0444~Lipid biosynthesis,KW-0752~Steroid biosynthesis,KW-0753~Steroid metabolism,KW-0756~Sterol biosynthesis,KW-1207~Sterol metabolism,	KW-0256~Endoplasmic reticulum,KW-0472~Membrane,KW-0576~Peroxisome,			KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0521~NADP,	KW-0560~Oxidoreductase,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	ACT_SITE:Charge relay system,ACT_SITE:Proton donor,CARBOHYD:N-linked (GlcNAc...) asparagine,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),DOMAIN:SSD,MOTIF:INSIG-binding motif,MUTAGEN:A->P: Abolishes sterol-mediated interaction with INSIG1, and no ubiquitination nor degradation.,MUTAGEN:F->A: Very little effect on the sterol-mediated ubiquitination and degradation of HMGCR. Completely abolishes the sterol effect on ubiquitination and degradation of HMGCR; when associated with A-75; A-76 and A-77.,MUTAGEN:G->R: Abolishes sterol-mediated interaction with INSIG1, and no ubiquitination nor degradation.,MUTAGEN:I->A: Greatly reduced sterol-mediated ubiquitination and degradation of HMGCR. Completely abolishes the sterol effect on ubiquitination and degradation of HMGCR; when associated with A-75; A-77 and A-78.,MUTAGEN:K->R: Little effect on sterol plus mevalonate-stimulated ubiquitination and degradation of HMGCR in the presence of INSIG1. No sterol plus mevalonate-stimulated ubiquitination and degradation of HMGCR in the presence of INSIG1; when associated with R-248.,MUTAGEN:K->R: Some reduction in sterol plus mevalonate-stimulated ubiquitination and degradation of HMGCR in the presence of INSIG1. No sterol plus mevalonate-stimulated ubiquitination and degradation of HMGCR in the presence of INSIG1; when associated with R-89.,MUTAGEN:S->A: Abolishes phosphorylation by AMPK. Blocks inhibition of sterol synthesis induced by ATP depletion.,MUTAGEN:S->N: Abolishes sterol-mediated interaction with INSIG1, and no ubiquitination nor degradation.,MUTAGEN:Y->A: Greatly reduced sterol-mediated ubiquitination and degradation of HMGCR. Marked reduction in the sterol-mediated ubiquitination and degradation of HMGCR; when associated with A-75. Completely abolishes the sterol effect on ubiquitination and degradation of HMGCR; when associated with A-75; A-76 and A-78.,MUTAGEN:Y->A: Very little effect on the sterol-mediated ubiquitination and degradation of HMGCR. Marked reduction in the sterol-mediated ubiquitination and degradation of HMGCR; when associated with A-77. Completely abolishes the sterol effect on ubiquitination and degradation of HMGCR; when associated with A-76; A-77 and A-78.,TOPO_DOM:Cytoplasmic,TOPO_DOM:Lumenal,TRANSMEM:Helical,
P23228	3-hydroxy-3-methylglutaryl-CoA synthase 1(HMGCS1)	Gallus gallus			GO:0006084~acetyl-CoA metabolic process,GO:0006695~cholesterol biosynthetic process,GO:0010142~farnesyl diphosphate biosynthetic process, mevalonate pathway,	GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0004421~hydroxymethylglutaryl-CoA synthase activity,	IPR000590:HMG_CoA_synt_AS,IPR010122:HMG_CoA_synthase_euk,IPR013528:HMG_CoA_synth_N,IPR013746:HMG_CoA_synt_C_dom,IPR016039:Thiolase-like,	gga00280:Valine, leucine and isoleucine degradation,gga00650:Butanoate metabolism,gga00900:Terpenoid backbone biosynthesis,gga01100:Metabolic pathways,gga03320:PPAR signaling pathway,				KW-0152~Cholesterol biosynthesis,KW-0153~Cholesterol metabolism,KW-0443~Lipid metabolism,KW-0444~Lipid biosynthesis,KW-0752~Steroid biosynthesis,KW-0753~Steroid metabolism,KW-0756~Sterol biosynthesis,KW-1207~Sterol metabolism,	KW-0963~Cytoplasm,					KW-0808~Transferase,		ACT_SITE:Acyl-thioester intermediate,ACT_SITE:Proton donor/acceptor,DOMAIN:Hydroxymethylglutaryl-coenzyme A synthase C-terminal,DOMAIN:Hydroxymethylglutaryl-coenzyme A synthase N-terminal,MUTAGEN:C->A: Does not significantly affect biophysicochemical properties.,
Q9QY80	3-hydroxyacyl-CoA dehydratase 1(Hacd1)	Mus musculus			GO:0006629~lipid metabolic process,GO:0006631~fatty acid metabolic process,GO:0006633~fatty acid biosynthetic process,GO:0007275~multicellular organism development,GO:0010389~regulation of G2/M transition of mitotic cell cycle,GO:0010811~positive regulation of cell-substrate adhesion,GO:0014902~myotube differentiation,GO:0030148~sphingolipid biosynthetic process,GO:0030497~fatty acid elongation,GO:0042761~very long-chain fatty acid biosynthetic process,GO:0065003~macromolecular complex assembly,GO:0071529~cementum mineralization,GO:2000045~regulation of G1/S transition of mitotic cell cycle,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,	GO:0016829~lyase activity,GO:0018812~3-hydroxyacyl-CoA dehydratase activity,GO:0019899~enzyme binding,GO:0046848~hydroxyapatite binding,	IPR007482:Tyr_Pase-like_PTPLA,	mmu00062:Fatty acid elongation,mmu01040:Biosynthesis of unsaturated fatty acids,mmu01100:Metabolic pathways,mmu01212:Fatty acid metabolism,				KW-0275~Fatty acid biosynthesis,KW-0276~Fatty acid metabolism,KW-0443~Lipid metabolism,KW-0444~Lipid biosynthesis,	KW-0256~Endoplasmic reticulum,KW-0472~Membrane,			KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0217~Developmental protein,KW-0456~Lyase,KW-9996~Developmental protein,	KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Lumenal,TRANSMEM:Helical,
Q6Y1H2	3-hydroxyacyl-CoA dehydratase 2(HACD2)	Homo sapiens			GO:0006633~fatty acid biosynthetic process,GO:0030148~sphingolipid biosynthetic process,GO:0030497~fatty acid elongation,GO:0035338~long-chain fatty-acyl-CoA biosynthetic process,GO:0042761~very long-chain fatty acid biosynthetic process,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,	GO:0005515~protein binding,GO:0018812~3-hydroxyacyl-CoA dehydratase activity,GO:0019899~enzyme binding,	IPR007482:Tyr_Pase-like_PTPLA,	hsa00062:Fatty acid elongation,hsa01040:Biosynthesis of unsaturated fatty acids,hsa01100:Metabolic pathways,hsa01212:Fatty acid metabolism,				KW-0275~Fatty acid biosynthesis,KW-0276~Fatty acid metabolism,KW-0443~Lipid metabolism,KW-0444~Lipid biosynthesis,	KW-0256~Endoplasmic reticulum,KW-0472~Membrane,			KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0456~Lyase,	KW-0007~Acetylation,KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,MUTAGEN:P->R: Does not restore any protein tyrosine phosphatase activity.,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Lumenal,TRANSMEM:Helical,
Q7SY06	3-hydroxyacyl-CoA dehydratase 3(hacd3)	Danio rerio			GO:0006629~lipid metabolic process,GO:0006631~fatty acid metabolic process,GO:0006633~fatty acid biosynthetic process,GO:0030148~sphingolipid biosynthetic process,GO:0030497~fatty acid elongation,GO:0042761~very long-chain fatty acid biosynthetic process,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,	GO:0016829~lyase activity,GO:0018812~3-hydroxyacyl-CoA dehydratase activity,	IPR007052:CS_dom,IPR007482:Tyr_Pase-like_PTPLA,IPR008978:HSP20-like_chaperone,	dre00062:Fatty acid elongation,dre01040:Biosynthesis of unsaturated fatty acids,dre01100:Metabolic pathways,dre01212:Fatty acid metabolism,				KW-0275~Fatty acid biosynthesis,KW-0276~Fatty acid metabolism,KW-0443~Lipid metabolism,KW-0444~Lipid biosynthesis,	KW-0256~Endoplasmic reticulum,KW-0472~Membrane,			KW-0175~Coiled coil,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0456~Lyase,		DOMAIN:CS,TOPO_DOM:Cytoplasmic,TOPO_DOM:Lumenal,TRANSMEM:Helical,
A2AKM2	3-hydroxyacyl-CoA dehydratase 4(Hacd4)	Mus musculus			GO:0006629~lipid metabolic process,GO:0006631~fatty acid metabolic process,GO:0006633~fatty acid biosynthetic process,GO:0030148~sphingolipid biosynthetic process,GO:0030497~fatty acid elongation,GO:0042761~very long-chain fatty acid biosynthetic process,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,	GO:0016829~lyase activity,GO:0018812~3-hydroxyacyl-CoA dehydratase activity,GO:0019899~enzyme binding,	IPR007482:Tyr_Pase-like_PTPLA,	mmu00062:Fatty acid elongation,mmu01040:Biosynthesis of unsaturated fatty acids,mmu01100:Metabolic pathways,mmu01212:Fatty acid metabolism,				KW-0275~Fatty acid biosynthesis,KW-0276~Fatty acid metabolism,KW-0443~Lipid metabolism,KW-0444~Lipid biosynthesis,	KW-0256~Endoplasmic reticulum,KW-0472~Membrane,			KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0456~Lyase,		TOPO_DOM:Cytoplasmic,TOPO_DOM:Lumenal,TRANSMEM:Helical,
Q9X248	3-oxoacyl-[acyl-carrier-protein] reductase FabG(fabG)	Thermotoga maritima MSB8			GO:0030497~fatty acid elongation,		GO:0004316~3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity,GO:0050661~NADP binding,GO:0051287~NAD binding,	IPR002347:SDR_fam,IPR011284:3oxo_ACP_reduc,IPR020904:Sc_DH/Rdtase_CS,IPR036291:NAD(P)-bd_dom_sf,				SM00822:PKS_KR,	KW-0275~Fatty acid biosynthesis,KW-0276~Fatty acid metabolism,KW-0443~Lipid metabolism,KW-0444~Lipid biosynthesis,					KW-0521~NADP,	KW-0560~Oxidoreductase,		ACT_SITE:Proton acceptor,
Q91YE9	5'-nucleotidase, cytosolic IB(Nt5c1b)	Mus musculus			GO:0000255~allantoin metabolic process,GO:0006196~AMP catabolic process,GO:0009116~nucleoside metabolic process,GO:0009117~nucleotide metabolic process,GO:0043605~cellular amide catabolic process,GO:0046085~adenosine metabolic process,	GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0000166~nucleotide binding,GO:0000287~magnesium ion binding,GO:0008253~5'-nucleotidase activity,GO:0016787~hydrolase activity,	IPR010394:5-nucleotidase,	mmu00230:Purine metabolism,mmu00240:Pyrimidine metabolism,mmu00760:Nicotinate and nicotinamide metabolism,mmu01100:Metabolic pathways,mmu01232:Nucleotide metabolism,				KW-0546~Nucleotide metabolism,	KW-0963~Cytoplasm,				KW-0460~Magnesium,	KW-0378~Hydrolase,		ACT_SITE:Nucleophile,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,REGION:Disordered,
Q969T7	5'-nucleotidase, cytosolic IIIB(NT5C3B)	Homo sapiens			GO:0009117~nucleotide metabolic process,GO:0043928~exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay,	GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0000166~nucleotide binding,GO:0000287~magnesium ion binding,GO:0005515~protein binding,GO:0008253~5'-nucleotidase activity,	IPR006434:Pyrimidine_nucleotidase_eu,IPR023214:HAD_sf,IPR036412:HAD-like_sf,	hsa00240:Pyrimidine metabolism,hsa01100:Metabolic pathways,hsa01232:Nucleotide metabolism,				KW-0546~Nucleotide metabolism,	KW-0963~Cytoplasm,				KW-0460~Magnesium,KW-0479~Metal-binding,KW-0547~Nucleotide-binding,	KW-0378~Hydrolase,	KW-0007~Acetylation,	ACT_SITE:Nucleophile,ACT_SITE:Proton donor,REGION:Disordered,
